T,<E>/N,SE
4.500000000000000111e-01,-1.779097222222222330e+00,1.172977447825404411e-02
4.700000000000000289e-01,-1.879973958333333250e+00,1.901834246245561084e-03
4.899999999999999911e-01,-1.872430555555555820e+00,4.607099402534659167e-03
5.100000000000000089e-01,-1.858515624999999893e+00,3.428028213912243452e-03
5.300000000000000266e-01,-1.844687499999999813e+00,3.128951976409835838e-03
5.500000000000000444e-01,-1.817309027777777697e+00,7.832786162183986295e-03
5.699999999999999512e-01,-1.795781250000000107e+00,1.952771315712998126e-03
5.899999999999999689e-01,-1.779479166666666723e+00,7.100786413875018882e-03
6.099999999999999867e-01,-1.737994791666666927e+00,1.333366016882166043e-02
6.300000000000000044e-01,-1.877274305555555411e+00,2.827992488312728453e-02
6.499999999999999112e-01,-1.876883680555555545e+00,1.923893913477643441e-03
6.699999999999999289e-01,-1.821588541666666616e+00,1.524134423000262500e-02
6.899999999999999467e-01,-1.792248263888888804e+00,1.385058647204273283e-02
7.099999999999999645e-01,-1.403107638888888786e+00,6.268856665333513711e-02
7.299999999999999822e-01,-8.100868055555555669e-01,9.846413513845988369e-03
7.500000000000000000e-01,-7.438975694444445175e-01,1.376789291713749128e-02
7.700000000000000178e-01,-7.041493055555554381e-01,2.768557469455309311e-03
7.900000000000000355e-01,-6.604079861111111782e-01,7.493692893616260564e-03
8.099999999999999423e-01,-6.378645833333331794e-01,4.810782371450899979e-03
8.299999999999999600e-01,-6.174739583333334059e-01,3.079738289076719860e-03
8.499999999999998668e-01,-6.000173611111111471e-01,1.420184165718538184e-03
8.699999999999998845e-01,-5.784982638888888085e-01,2.083930036074788019e-03
8.899999999999999023e-01,-5.591840277777777590e-01,1.453675597599272127e-03
9.099999999999999201e-01,-5.401996527777778168e-01,1.885013502611641162e-03
9.299999999999999378e-01,-5.326822916666666963e-01,3.058985573499160230e-03
9.499999999999999556e-01,-5.172569444444444775e-01,1.654627136052759431e-03
